gender,gender_num,race/ethnicity,race/ethnicity_num,parental level of education,ple_num,lunch,lunch_num,test preparation course,testprepcourse_num,math score,reading score,writing score,,,,,,,,,,,,,,,,,,,,,,,,,,,
female,0,group E,5,high school,5,standard,0,none,0,0.32,0.3,0.28,,,,,,,,,,,,,,,,,,,,,,0.35,0.39,0.36,,,
female,0,group D,4,associate's degree,2,standard,0,none,0,0.53,0.57,0.59,,,,,,,,,,,,,,,,,,,,,,0.35,0.39,0.36,,,
male,1,group C,3,some high school,6,free/reduced,1,completed,1,0.25,0.33,0.31,,,,,,,,,,,,,,,,,,,,,,0.35,0.39,0.37,,,
male,1,group C,3,associate's degree,2,free/reduced,1,completed,1,0.53,0.54,0.53,,,,,,,,,,,,,,,,,,,,,,0.36,0.39,0.37,,,
male,1,group E,5,high school,5,standard,0,none,0,0.73,0.67,0.53,,,,,,,,,,,,,,,,,,,,,,0.36,0.39,0.37,,,
male,1,group D,4,some high school,6,standard,0,completed,1,0.48,0.53,0.57,,,,,,,,,,,,,,,,,,,,,,0.36,0.39,0.37,,,
male,1,group B,2,some high school,6,free/reduced,1,none,0,0.29,0.33,0.25,,,,,,,,,,,,,,,,,,,,,,0.36,0.39,0.37,,,
female,0,group C,3,bachelor's degree,3,standard,0,none,0,0.69,0.84,0.83,,,,,,,,,,,,,,,,,,,,,,0.36,0.39,0.37,,,
female,0,group E,5,associate's degree,2,standard,0,none,0,0.54,0.51,0.58,,,,,,,,,,,,,,,,,,,,,,0.36,0.39,0.37,,,
male,1,group D,4,some college,4,standard,0,completed,1,0.68,0.77,0.72,,,,,,,,,,,,,,,,,,,,,,0.36,0.39,0.37,,,
female,0,group B,2,some high school,6,standard,0,none,0,0.48,0.5,0.54,,,,,,,,,,,,,,,,,,,,,,0.36,0.39,0.37,,,
male,1,group D,4,some college,4,standard,0,completed,1,0.69,0.47,0.48,,,,,,,,,,,,,,,,,,,,,,0.36,0.39,0.37,,,
female,0,group C,3,master's degree,1,standard,0,completed,1,0.58,0.78,0.8,,,,,,,,,,,,,,,,,,,,,,0.36,0.39,0.37,,,
male,1,group D,4,associate's degree,2,standard,0,none,0,0.47,0.37,0.35,,,,,,,,,,,,,,,,,,,,,,0.36,0.39,0.37,,,
male,1,group C,3,some high school,6,free/reduced,1,completed,1,0.44,0.57,0.53,,,,,,,,,,,,,,,,,,,,,,0.36,0.39,0.37,,,
male,1,group E,5,high school,5,free/reduced,1,none,0,0.39,0.39,0.33,,,,,,,,,,,,,,,,,,,,,,0.36,0.39,0.37,,,
female,0,group B,2,some college,4,free/reduced,1,none,0,0.25,0.34,0.39,,,,,,,,,,,,,,,,,,,,,,0.36,0.4,0.37,,,
female,0,group B,2,bachelor's degree,3,free/reduced,1,none,0,0.7,0.71,0.68,,,,,,,,,,,,,,,,,,,,,,0.36,0.4,0.37,,,
female,0,group C,3,associate's degree,2,standard,0,completed,1,0.55,0.78,0.81,,,,,,,,,,,,,,,,,,,,,,0.36,0.4,0.37,,,
female,0,group D,4,some college,4,free/reduced,1,none,0,0.53,0.74,0.69,,,,,,,,,,,,,,,,,,,,,,0.36,0.4,0.37,,,
male,1,group C,3,associate's degree,2,standard,0,none,0,0.58,0.68,0.58,,,,,,,,,,,,,,,,,,,,,,0.36,0.4,0.37,,,
female,0,group B,2,associate's degree,2,standard,0,none,0,0.42,0.57,0.57,,,,,,,,,,,,,,,,,,,,,,0.36,0.4,0.37,,,
male,1,group C,3,some college,4,standard,0,none,0,0.44,0.17,0.21,,,,,,,,,,,,,,,,,,,,,,0.36,0.4,0.37,,,
male,1,group D,4,some high school,6,standard,0,completed,1,0.65,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,0.36,0.4,0.37,,,
male,1,group E,5,bachelor's degree,3,standard,0,none,0,0.76,0.47,0.48,,,,,,,,,,,,,,,,,,,,,,0.36,0.4,0.37,,,
male,1,group E,5,high school,5,standard,0,completed,1,0.74,0.72,0.68,,,,,,,,,,,,,,,,,,,,,,0.36,0.4,0.37,,,
female,0,group B,2,some college,4,free/reduced,1,none,0,0.65,0.74,0.68,,,,,,,,,,,,,,,,,,,,,,0.36,0.4,0.37,,,
female,0,group B,2,some college,4,free/reduced,1,none,0,0.43,0.46,0.54,,,,,,,,,,,,,,,,,,,,,,0.37,0.4,0.39,,,
male,1,group D,4,some high school,6,free/reduced,1,completed,1,0.73,0.71,0.72,,,,,,,,,,,,,,,,,,,,,,0.37,0.4,0.39,,,
male,1,group C,3,some college,4,free/reduced,1,none,0,0.11,0.02,0,,,,,,,,,,,,,,,,,,,,,,0.37,0.4,0.39,,,
female,0,group C,3,high school,5,free/reduced,1,none,0,0.21,0.47,0.46,,,,,,,,,,,,,,,,,,,,,,0.37,0.4,0.39,,,
male,1,group C,3,associate's degree,2,free/reduced,1,completed,1,0.46,0.31,0.4,,,,,,,,,,,,,,,,,,,,,,0.37,0.4,0.39,,,
male,1,group E,5,high school,5,standard,0,completed,1,0.83,0.88,0.74,,,,,,,,,,,,,,,,,,,,,,0.37,0.4,0.39,,,
male,1,group B,2,some high school,6,standard,0,completed,1,0.79,0.77,0.66,,,,,,,,,,,,,,,,,,,,,,0.37,0.41,0.39,,,
female,0,group E,5,associate's degree,2,free/reduced,1,completed,1,0.77,0.81,0.84,,,,,,,,,,,,,,,,,,,,,,0.37,0.41,0.39,,,
female,0,group C,3,high school,5,free/reduced,1,none,0,0.1,0.19,0.17,,,,,,,,,,,,,,,,,,,,,,0.37,0.41,0.39,,,
male,1,group B,2,high school,5,free/reduced,1,none,0,0.54,0.68,0.59,,,,,,,,,,,,,,,,,,,,,,0.37,0.41,0.39,,,
male,1,group B,2,some high school,6,standard,0,completed,1,0.47,0.39,0.4,,,,,,,,,,,,,,,,,,,,,,0.37,0.41,0.39,,,
female,0,group D,4,high school,5,standard,0,completed,1,0.4,0.55,0.65,,,,,,,,,,,,,,,,,,,,,,0.37,0.41,0.39,,,
male,1,group B,2,associate's degree,2,standard,0,none,0,0.83,0.79,0.64,,,,,,,,,,,,,,,,,,,,,,0.37,0.41,0.39,,,
female,0,group C,3,some high school,6,free/reduced,1,none,0,0.39,0.51,0.48,,,,,,,,,,,,,,,,,,,,,,0.37,0.41,0.39,,,
male,1,group D,4,some high school,6,standard,0,none,0,0.81,0.72,0.66,,,,,,,,,,,,,,,,,,,,,,0.37,0.41,0.4,,,
female,0,group B,2,associate's degree,2,standard,0,completed,1,0.35,0.53,0.64,,,,,,,,,,,,,,,,,,,,,,0.37,0.41,0.4,,,
female,0,group E,5,master's degree,1,free/reduced,1,none,0,0.25,0.39,0.37,,,,,,,,,,,,,,,,,,,,,,0.37,0.41,0.4,,,
female,0,group C,3,some college,4,standard,0,none,0,0.62,0.61,0.61,,,,,,,,,,,,,,,,,,,,,,0.37,0.41,0.4,,,
male,1,group D,4,high school,5,standard,0,none,0,0.42,0.3,0.37,,,,,,,,,,,,,,,,,,,,,,0.39,0.41,0.4,,,
male,1,group A,1,some high school,6,free/reduced,1,none,0,0.57,0.61,0.51,,,,,,,,,,,,,,,,,,,,,,0.39,0.41,0.4,,,
female,0,group C,3,some college,4,standard,0,completed,1,0.84,0.93,0.92,,,,,,,,,,,,,,,,,,,,,,0.39,0.41,0.4,,,
male,1,group D,4,some college,4,standard,0,none,0,0.68,0.5,0.54,,,,,,,,,,,,,,,,,,,,,,0.39,0.41,0.4,,,
male,1,group C,3,associate's degree,2,standard,0,none,0,0.27,0.2,0.21,,,,,,,,,,,,,,,,,,,,,,0.39,0.41,0.4,,,
female,0,group B,2,bachelor's degree,3,standard,0,none,0,0.55,0.81,0.77,,,,,,,,,,,,,,,,,,,,,,0.39,0.41,0.4,,,
male,1,group E,5,some high school,6,standard,0,none,0,0.9,0.82,0.7,,,,,,,,,,,,,,,,,,,,,,0.39,0.41,0.4,,,
male,1,group C,3,bachelor's degree,3,standard,0,completed,1,0.77,0.75,0.79,,,,,,,,,,,,,,,,,,,,,,0.39,0.41,0.4,,,
male,1,group D,4,associate's degree,2,standard,0,none,0,0.73,0.65,0.69,,,,,,,,,,,,,,,,,,,,,,0.39,0.41,0.4,,,
male,1,group D,4,bachelor's degree,3,free/reduced,1,none,0,0.5,0.53,0.55,,,,,,,,,,,,,,,,,,,,,,0.39,0.41,0.4,,,
female,0,group D,4,some high school,6,standard,0,completed,1,0.51,0.44,0.65,,,,,,,,,,,,,,,,,,,,,,0.39,0.41,0.42,,,
male,1,group B,2,some college,4,standard,0,none,0,0.37,0.33,0.33,,,,,,,,,,,,,,,,,,,,,,0.39,0.41,0.42,,,
male,1,group C,3,associate's degree,2,standard,0,none,0,0.79,0.72,0.73,,,,,,,,,,,,,,,,,,,,,,0.39,0.41,0.42,,,
male,1,group D,4,high school,5,free/reduced,1,completed,1,0.64,0.55,0.54,,,,,,,,,,,,,,,,,,,,,,0.39,0.41,0.42,,,
female,0,group E,5,bachelor's degree,3,standard,0,none,0,0.73,0.77,0.77,,,,,,,,,,,,,,,,,,,,,,0.39,0.41,0.42,,,
female,0,group D,4,high school,5,standard,0,none,0,0.4,0.33,0.39,,,,,,,,,,,,,,,,,,,,,,0.39,0.41,0.42,,,
male,1,group E,5,some college,4,standard,0,none,0,0.44,0.31,0.22,,,,,,,,,,,,,,,,,,,,,,0.39,0.43,0.42,,,
male,1,group D,4,some high school,6,standard,0,none,0,0.66,0.64,0.58,,,,,,,,,,,,,,,,,,,,,,0.39,0.43,0.42,,,
male,1,group C,3,associate's degree,2,standard,0,none,0,0.8,0.67,0.61,,,,,,,,,,,,,,,,,,,,,,0.4,0.43,0.42,,,
male,1,group E,5,associate's degree,2,standard,0,none,0,0.85,0.67,0.65,,,,,,,,,,,,,,,,,,,,,,0.4,0.43,0.42,,,
female,0,group B,2,high school,5,standard,0,completed,1,0.43,0.58,0.57,,,,,,,,,,,,,,,,,,,,,,0.4,0.43,0.42,,,
female,0,group B,2,high school,5,standard,0,none,0,0.53,0.5,0.48,,,,,,,,,,,,,,,,,,,,,,0.4,0.43,0.42,,,
male,1,group C,3,high school,5,standard,0,none,0,0.57,0.44,0.36,,,,,,,,,,,,,,,,,,,,,,0.4,0.43,0.42,,,
male,1,group A,1,some high school,6,standard,0,completed,1,0.28,0.29,0.31,,,,,,,,,,,,,,,,,,,,,,0.4,0.43,0.42,,,
female,0,group D,4,some college,4,free/reduced,1,none,0,0.61,0.77,0.77,,,,,,,,,,,,,,,,,,,,,,0.4,0.43,0.42,,,
female,0,group B,2,some high school,6,standard,0,completed,1,0.46,0.58,0.59,,,,,,,,,,,,,,,,,,,,,,0.4,0.43,0.42,,,
male,1,group D,4,master's degree,1,standard,0,none,0,0.73,0.72,0.62,,,,,,,,,,,,,,,,,,,,,,0.4,0.43,0.42,,,
male,1,group D,4,high school,5,standard,0,none,0,0.37,0.33,0.35,,,,,,,,,,,,,,,,,,,,,,0.42,0.43,0.42,,,
female,0,group E,5,some college,4,standard,0,none,0,0.48,0.62,0.59,,,,,,,,,,,,,,,,,,,,,,0.42,0.43,0.42,,,
female,0,group C,3,associate's degree,2,free/reduced,1,none,0,0.51,0.62,0.57,,,,,,,,,,,,,,,,,,,,,,0.42,0.43,0.43,,,
male,1,group C,3,associate's degree,2,standard,0,completed,1,0.7,0.68,0.69,,,,,,,,,,,,,,,,,,,,,,0.42,0.43,0.43,,,
female,0,group B,2,some college,4,standard,0,none,0,0.59,0.65,0.7,,,,,,,,,,,,,,,,,,,,,,0.42,0.43,0.43,,,
female,0,group C,3,master's degree,1,free/reduced,1,completed,1,0.53,0.74,0.74,,,,,,,,,,,,,,,,,,,,,,0.42,0.43,0.43,,,
female,0,group C,3,some high school,6,free/reduced,1,completed,1,0.51,0.71,0.69,,,,,,,,,,,,,,,,,,,,,,0.42,0.44,0.43,,,
male,1,group C,3,some college,4,standard,0,completed,1,0.72,0.71,0.7,,,,,,,,,,,,,,,,,,,,,,0.42,0.44,0.43,,,
female,0,group C,3,some high school,6,free/reduced,1,none,0,0.24,0.3,0.33,,,,,,,,,,,,,,,,,,,,,,0.42,0.44,0.43,,,
female,0,group E,5,high school,5,standard,0,none,0,0.99,0.91,0.87,,,,,,,,,,,,,,,,,,,,,,0.42,0.44,0.43,,,
male,1,group D,4,high school,5,standard,0,none,0,0.68,0.62,0.57,,,,,,,,,,,,,,,,,,,,,,0.42,0.44,0.43,,,
male,1,group D,4,some high school,6,free/reduced,1,none,0,0.44,0.19,0.2,,,,,,,,,,,,,,,,,,,,,,0.42,0.44,0.43,,,
female,0,group C,3,bachelor's degree,3,standard,0,none,0,0.5,0.65,0.74,,,,,,,,,,,,,,,,,,,,,,0.42,0.44,0.43,,,
female,0,group D,4,high school,5,standard,0,none,0,0.58,0.61,0.69,,,,,,,,,,,,,,,,,,,,,,0.42,0.44,0.43,,,
female,0,group D,4,associate's degree,2,standard,0,completed,1,0.84,0.89,0.94,,,,,,,,,,,,,,,,,,,,,,0.42,0.44,0.43,,,
female,0,group E,5,some college,4,free/reduced,1,none,0,0.61,0.67,0.59,,,,,,,,,,,,,,,,,,,,,,0.42,0.44,0.43,,,
male,1,group C,3,bachelor's degree,3,standard,0,none,0,0.58,0.48,0.47,,,,,,,,,,,,,,,,,,,,,,0.42,0.44,0.43,,,
male,1,group C,3,some college,4,standard,0,none,0,0.43,0.29,0.21,,,,,,,,,,,,,,,,,,,,,,0.42,0.44,0.43,,,
female,0,group D,4,associate's degree,2,free/reduced,1,none,0,0.28,0.34,0.43,,,,,,,,,,,,,,,,,,,,,,0.43,0.44,0.43,,,
female,0,group D,4,some college,4,standard,0,none,0,0.53,0.58,0.61,,,,,,,,,,,,,,,,,,,,,,0.43,0.44,0.43,,,
male,1,group B,2,some college,4,standard,0,completed,1,0.84,0.79,0.68,,,,,,,,,,,,,,,,,,,,,,0.43,0.44,0.44,,,
male,1,group C,3,bachelor's degree,3,standard,0,none,0,0.77,0.7,0.64,,,,,,,,,,,,,,,,,,,,,,0.43,0.44,0.44,,,
female,0,group C,3,some high school,6,standard,0,completed,1,0.8,0.89,0.91,,,,,,,,,,,,,,,,,,,,,,0.43,0.44,0.44,,,
female,0,group E,5,high school,5,standard,0,completed,1,0.44,0.48,0.66,,,,,,,,,,,,,,,,,,,,,,0.43,0.44,0.44,,,
female,0,group C,3,some high school,6,free/reduced,1,none,0,0.53,0.81,0.73,,,,,,,,,,,,,,,,,,,,,,0.43,0.44,0.44,,,
male,1,group B,2,bachelor's degree,3,free/reduced,1,none,0,0.64,0.39,0.42,,,,,,,,,,,,,,,,,,,,,,0.43,0.44,0.44,,,
male,1,group D,4,high school,5,standard,0,none,0,0.36,0.33,0.21,,,,,,,,,,,,,,,,,,,,,,0.43,0.44,0.44,,,
male,1,group D,4,high school,5,standard,0,none,0,0.25,0.27,0.27,,,,,,,,,,,,,,,,,,,,,,0.43,0.46,0.44,,,
female,0,group D,4,bachelor's degree,3,free/reduced,1,none,0,0.64,0.71,0.79,,,,,,,,,,,,,,,,,,,,,,0.43,0.46,0.44,,,
female,0,group D,4,some college,4,free/reduced,1,completed,1,0.59,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,0.43,0.46,0.44,,,
female,0,group B,2,some high school,6,standard,0,none,0,0.14,0.24,0.27,,,,,,,,,,,,,,,,,,,,,,0.43,0.46,0.44,,,
male,1,group B,2,associate's degree,2,standard,0,completed,1,0.74,0.75,0.76,,,,,,,,,,,,,,,,,,,,,,0.43,0.46,0.44,,,
male,1,group E,5,associate's degree,2,standard,0,completed,1,0.96,0.75,0.84,,,,,,,,,,,,,,,,,,,,,,0.43,0.46,0.44,,,
female,0,group B,2,some high school,6,standard,0,none,0,0.55,0.85,0.76,,,,,,,,,,,,,,,,,,,,,,0.43,0.46,0.46,,,
male,1,group B,2,bachelor's degree,3,free/reduced,1,none,0,0.84,0.65,0.68,,,,,,,,,,,,,,,,,,,,,,0.43,0.46,0.46,,,
male,1,group E,5,some high school,6,standard,0,completed,1,0.69,0.67,0.69,,,,,,,,,,,,,,,,,,,,,,0.43,0.46,0.46,,,
male,1,group C,3,associate's degree,2,standard,0,none,0,0.68,0.58,0.57,,,,,,,,,,,,,,,,,,,,,,0.43,0.46,0.46,,,
male,1,group D,4,some high school,6,standard,0,none,0,0.81,0.62,0.59,,,,,,,,,,,,,,,,,,,,,,0.43,0.46,0.46,,,
male,1,group C,3,some high school,6,standard,0,completed,1,0.5,0.44,0.42,,,,,,,,,,,,,,,,,,,,,,0.43,0.46,0.46,,,
female,0,group E,5,bachelor's degree,3,standard,0,none,0,0.53,0.62,0.66,,,,,,,,,,,,,,,,,,,,,,0.43,0.46,0.46,,,
male,1,group D,4,high school,5,free/reduced,1,completed,1,0.7,0.68,0.73,,,,,,,,,,,,,,,,,,,,,,0.43,0.46,0.46,,,
male,1,group B,2,associate's degree,2,free/reduced,1,none,0,0.55,0.47,0.46,,,,,,,,,,,,,,,,,,,,,,0.43,0.46,0.46,,,
male,1,group A,1,some high school,6,standard,0,completed,1,0.27,0.17,0.22,,,,,,,,,,,,,,,,,,,,,,0.43,0.46,0.46,,,
male,1,group E,5,associate's degree,2,standard,0,completed,1,0.61,0.64,0.57,,,,,,,,,,,,,,,,,,,,,,0.44,0.46,0.46,,,
male,1,group C,3,high school,5,free/reduced,1,completed,1,0.18,0.24,0.32,,,,,,,,,,,,,,,,,,,,,,0.44,0.46,0.46,,,
male,1,group D,4,associate's degree,2,free/reduced,1,none,0,0.87,0.82,0.66,,,,,,,,,,,,,,,,,,,,,,0.44,0.46,0.46,,,
male,1,group A,1,some college,4,free/reduced,1,completed,1,0.74,0.7,0.74,,,,,,,,,,,,,,,,,,,,,,0.44,0.46,0.46,,,
male,1,group D,4,some high school,6,free/reduced,1,none,0,0.4,0.36,0.35,,,,,,,,,,,,,,,,,,,,,,0.44,0.46,0.46,,,
female,0,group C,3,associate's degree,2,standard,0,completed,1,0.55,0.78,0.74,,,,,,,,,,,,,,,,,,,,,,0.44,0.46,0.46,,,
male,1,group B,2,associate's degree,2,standard,0,none,0,0.73,0.67,0.51,,,,,,,,,,,,,,,,,,,,,,0.44,0.46,0.46,,,
female,0,group C,3,associate's degree,2,standard,0,completed,1,0.65,0.65,0.77,,,,,,,,,,,,,,,,,,,,,,0.44,0.46,0.46,,,
male,1,group A,1,some college,4,standard,0,none,0,0.58,0.54,0.58,,,,,,,,,,,,,,,,,,,,,,0.44,0.47,0.46,,,
male,1,group E,5,some college,4,standard,0,completed,1,0.99,0.82,0.74,,,,,,,,,,,,,,,,,,,,,,0.44,0.47,0.46,,,
male,1,group C,3,some high school,6,standard,0,none,0,0.33,0.33,0.24,,,,,,,,,,,,,,,,,,,,,,0.44,0.47,0.47,,,
female,0,group B,2,associate's degree,2,free/reduced,1,none,0,0.36,0.6,0.55,,,,,,,,,,,,,,,,,,,,,,0.44,0.47,0.47,,,
female,0,group D,4,high school,5,free/reduced,1,none,0,0.31,0.4,0.35,,,,,,,,,,,,,,,,,,,,,,0.44,0.47,0.47,,,
female,0,group B,2,associate's degree,2,standard,0,none,0,0.64,0.67,0.73,,,,,,,,,,,,,,,,,,,,,,0.44,0.47,0.47,,,
male,1,group B,2,bachelor's degree,3,standard,0,none,0,0.54,0.44,0.42,,,,,,,,,,,,,,,,,,,,,,0.44,0.47,0.47,,,
male,1,group D,4,bachelor's degree,3,standard,0,completed,1,0.55,0.46,0.57,,,,,,,,,,,,,,,,,,,,,,0.44,0.47,0.47,,,
female,0,group C,3,associate's degree,2,free/reduced,1,completed,1,0.57,0.54,0.58,,,,,,,,,,,,,,,,,,,,,,0.44,0.47,0.47,,,
female,0,group C,3,bachelor's degree,3,standard,0,completed,1,0.44,0.5,0.66,,,,,,,,,,,,,,,,,,,,,,0.44,0.47,0.47,,,
male,1,group C,3,high school,5,standard,0,none,0,0.61,0.53,0.53,,,,,,,,,,,,,,,,,,,,,,0.44,0.47,0.47,,,
female,0,group D,4,master's degree,1,standard,0,completed,1,0.69,0.75,0.88,,,,,,,,,,,,,,,,,,,,,,0.44,0.47,0.47,,,
male,1,group C,3,associate's degree,2,standard,0,none,0,0.77,0.61,0.7,,,,,,,,,,,,,,,,,,,,,,0.44,0.47,0.47,,,
male,1,group B,2,bachelor's degree,3,standard,0,none,0,0.5,0.6,0.58,,,,,,,,,,,,,,,,,,,,,,0.44,0.47,0.47,,,
female,0,group D,4,associate's degree,2,free/reduced,1,none,0,0.4,0.51,0.5,,,,,,,,,,,,,,,,,,,,,,0.44,0.47,0.47,,,
female,0,group C,3,high school,5,free/reduced,1,completed,1,0.55,0.71,0.79,,,,,,,,,,,,,,,,,,,,,,0.44,0.47,0.47,,,
female,0,group E,5,high school,5,standard,0,none,0,0.66,0.81,0.72,,,,,,,,,,,,,,,,,,,,,,0.44,0.47,0.47,,,
female,0,group C,3,some college,4,standard,0,none,0,0.61,0.74,0.73,,,,,,,,,,,,,,,,,,,,,,0.44,0.47,0.47,,,
female,0,group C,3,some high school,6,free/reduced,1,none,0,0.22,0.34,0.36,,,,,,,,,,,,,,,,,,,,,,0.44,0.47,0.47,,,
female,0,group C,3,high school,5,free/reduced,1,none,0,0.2,0.24,0.22,,,,,,,,,,,,,,,,,,,,,,0.44,0.47,0.47,,,
female,0,group C,3,some college,4,standard,0,none,0,0.76,0.86,0.92,,,,,,,,,,,,,,,,,,,,,,0.44,0.47,0.47,,,
male,1,group C,3,some college,4,standard,0,none,0,0.47,0.46,0.48,,,,,,,,,,,,,,,,,,,,,,0.44,0.47,0.47,,,
male,1,group A,1,some college,4,free/reduced,1,none,0,0.02,0,0,,,,,,,,,,,,,,,,,,,,,,0.44,0.48,0.47,,,
male,1,group C,3,associate's degree,2,standard,0,completed,1,0.76,0.65,0.69,,,,,,,,,,,,,,,,,,,,,,0.44,0.48,0.48,,,
female,0,group B,2,some high school,6,standard,0,none,0,0.2,0.37,0.33,,,,,,,,,,,,,,,,,,,,,,0.46,0.48,0.48,,,
male,1,group C,3,high school,5,standard,0,none,0,0.61,0.44,0.47,,,,,,,,,,,,,,,,,,,,,,0.46,0.48,0.48,,,
male,1,group C,3,associate's degree,2,standard,0,none,0,0.28,0.12,0.11,,,,,,,,,,,,,,,,,,,,,,0.46,0.48,0.48,,,
male,1,group E,5,associate's degree,2,standard,0,completed,1,0.48,0.39,0.36,,,,,,,,,,,,,,,,,,,,,,0.46,0.48,0.48,,,
male,1,group B,2,associate's degree,2,standard,0,none,0,0.87,0.7,0.74,,,,,,,,,,,,,,,,,,,,,,0.46,0.48,0.48,,,
female,0,group C,3,bachelor's degree,3,standard,0,none,0,0.77,0.91,0.94,,,,,,,,,,,,,,,,,,,,,,0.46,0.48,0.48,,,
female,0,group B,2,some college,4,free/reduced,1,none,0,0.47,0.55,0.54,,,,,,,,,,,,,,,,,,,,,,0.46,0.48,0.48,,,
male,1,group D,4,some high school,6,standard,0,completed,1,0.68,0.58,0.58,,,,,,,,,,,,,,,,,,,,,,0.46,0.48,0.48,,,
male,1,group C,3,associate's degree,2,standard,0,none,0,0.31,0.31,0.22,,,,,,,,,,,,,,,,,,,,,,0.46,0.48,0.48,,,
female,0,group B,2,some high school,6,free/reduced,1,none,0,0,0.13,0,,,,,,,,,,,,,,,,,,,,,,0.46,0.48,0.48,,,
female,0,group D,4,some high school,6,free/reduced,1,completed,1,0.11,0.37,0.46,,,,,,,,,,,,,,,,,,,,,,0.46,0.48,0.48,,,
male,1,group C,3,high school,5,free/reduced,1,none,0,0.43,0.46,0.35,,,,,,,,,,,,,,,,,,,,,,0.46,0.48,0.48,,,
female,0,group C,3,high school,5,standard,0,none,0,0.47,0.62,0.5,,,,,,,,,,,,,,,,,,,,,,0.46,0.48,0.48,,,
female,0,group B,2,high school,5,standard,0,completed,1,0.58,0.67,0.65,,,,,,,,,,,,,,,,,,,,,,0.46,0.48,0.48,,,
male,1,group D,4,associate's degree,2,standard,0,completed,1,0.55,0.61,0.55,,,,,,,,,,,,,,,,,,,,,,0.46,0.48,0.48,,,
male,1,group D,4,some college,4,standard,0,none,0,0.72,0.62,0.55,,,,,,,,,,,,,,,,,,,,,,0.46,0.48,0.48,,,
female,0,group C,3,high school,5,standard,0,none,0,0.62,0.72,0.66,,,,,,,,,,,,,,,,,,,,,,0.47,0.48,0.48,,,
male,1,group B,2,some college,4,standard,0,none,0,0.48,0.46,0.42,,,,,,,,,,,,,,,,,,,,,,0.47,0.48,0.48,,,
female,0,group C,3,bachelor's degree,3,standard,0,completed,1,0.69,0.92,0.94,,,,,,,,,,,,,,,,,,,,,,0.47,0.5,0.48,,,
male,1,group D,4,high school,5,free/reduced,1,none,0,0.66,0.64,0.54,,,,,,,,,,,,,,,,,,,,,,0.47,0.5,0.48,,,
male,1,group E,5,associate's degree,2,standard,0,none,0,0.83,0.64,0.68,,,,,,,,,,,,,,,,,,,,,,0.47,0.5,0.48,,,
female,0,group B,2,bachelor's degree,3,standard,0,none,0,0.35,0.51,0.58,,,,,,,,,,,,,,,,,,,,,,0.47,0.5,0.48,,,
male,1,group E,5,some college,4,standard,0,none,0,0.54,0.4,0.35,,,,,,,,,,,,,,,,,,,,,,0.47,0.5,0.48,,,
female,0,group C,3,some college,4,standard,0,completed,1,0.5,0.7,0.73,,,,,,,,,,,,,,,,,,,,,,0.47,0.5,0.48,,,
female,0,group C,3,associate's degree,2,standard,0,none,0,0.27,0.41,0.42,,,,,,,,,,,,,,,,,,,,,,0.47,0.5,0.48,,,
female,0,group C,3,some college,4,standard,0,none,0,0.44,0.6,0.59,,,,,,,,,,,,,,,,,,,,,,0.47,0.5,0.48,,,
female,0,group B,2,bachelor's degree,3,standard,0,none,0,0.47,0.61,0.59,,,,,,,,,,,,,,,,,,,,,,0.47,0.5,0.5,,,
male,1,group A,1,associate's degree,2,standard,0,none,0,0.5,0.46,0.47,,,,,,,,,,,,,,,,,,,,,,0.47,0.5,0.5,,,
female,0,group C,3,some college,4,free/reduced,1,completed,1,0.21,0.53,0.58,,,,,,,,,,,,,,,,,,,,,,0.47,0.5,0.5,,,
male,1,group D,4,some college,4,free/reduced,1,none,0,0.44,0.47,0.47,,,,,,,,,,,,,,,,,,,,,,0.47,0.5,0.5,,,
female,0,group D,4,some college,4,standard,0,none,0,0.73,0.86,0.85,,,,,,,,,,,,,,,,,,,,,,0.47,0.5,0.5,,,
female,0,group B,2,high school,5,standard,0,none,0,0.43,0.47,0.44,,,,,,,,,,,,,,,,,,,,,,0.47,0.5,0.5,,,
male,1,group B,2,some high school,6,standard,0,completed,1,0.8,0.78,0.7,,,,,,,,,,,,,,,,,,,,,,0.47,0.5,0.5,,,
female,0,group C,3,some college,4,standard,0,none,0,0.35,0.41,0.43,,,,,,,,,,,,,,,,,,,,,,0.47,0.5,0.5,,,
female,0,group D,4,some high school,6,free/reduced,1,none,0,0,0.08,0.07,,,,,,,,,,,,,,,,,,,,,,0.47,0.5,0.5,,,
male,1,group C,3,some college,4,standard,0,none,0,0.44,0.44,0.43,,,,,,,,,,,,,,,,,,,,,,0.47,0.5,0.5,,,
male,1,group A,1,bachelor's degree,3,free/reduced,1,completed,1,0.31,0.41,0.46,,,,,,,,,,,,,,,,,,,,,,0.47,0.5,0.5,,,
male,1,group C,3,high school,5,standard,0,completed,1,0.58,0.41,0.36,,,,,,,,,,,,,,,,,,,,,,0.47,0.5,0.5,,,
male,1,group C,3,bachelor's degree,3,free/reduced,1,none,0,0.47,0.53,0.47,,,,,,,,,,,,,,,,,,,,,,0.47,0.5,0.5,,,
female,0,group A,1,some high school,6,free/reduced,1,none,0,0.24,0.5,0.43,,,,,,,,,,,,,,,,,,,,,,0.47,0.5,0.5,,,
female,0,group D,4,some high school,6,standard,0,none,0,0.64,0.78,0.8,,,,,,,,,,,,,,,,,,,,,,0.47,0.5,0.5,,,
